card,kind,query,value,returned,catalog_total,messages,error,sellers,titles
gift,query,gift sets,,10,439,,,toys-shop-32.myshopify.com; leoludo.myshopify.com; good-nbr.myshopify.com; detoxmarketca.myshopify.com; njstuz-x2.myshopify.com; wellboxuk.myshopify.com; xrbthg-vv.myshopify.com; red-label-kilts-inc.myshopify.com,SOL DE JANEIRO Beija Flor Jet Set | Coffret cadeau de naissance et shower de bébé | Luxury Gift Set (No.04 Bois de Balincourt) | Bodycare Bestsellers Set | Dewberry Essentials Gift
food,query,food and drink gifts,,10,410,,,igift.myshopify.com; thegourmetgift.myshopify.com; brocrate.myshopify.com; vancouverbaskets.myshopify.com; xrbthg-vv.myshopify.com; makerhouse.myshopify.com; maggie-beer.myshopify.com,Warm Urban Sips Gourmet Gift Basket | Classic Pub Treats with Guinness & Brie | Refreshing Cocktail & Fruit Gift | Warm Wishes Wine & Cheese Basket | Savoury Delights Gourmet Gift Basket
apparel,query,apparel gifts,,10,414,,,pokoloko-v2.myshopify.com; deadstock-ca.myshopify.com; vibnvintage.myshopify.com; sanction.myshopify.com; z51p5y-xw.myshopify.com; gruntstyle.myshopify.com; stash-apparel-gifts.myshopify.com; avpamerica.myshopify.com; iia6s4-fr.myshopify.com; the-sweet-life-apparel-gifts.myshopify.com,"Poko Apparel Bundle | Honor The Gift Washed Twill Trucker Jacket / Taupe | 5-Pack Mystery Box | 686 Everywhere Featherlight Chino Short Oxblood | Personalized Name Sweatshirt – Custom Hoodie, Cozy Unisex Apparel Gift"
stationery,query,stationery gifts,,10,403,,,hubman-and-chubgirl.myshopify.com; papier-latte.myshopify.com; duly-noted-stationery.myshopify.com; hanji-gifts.myshopify.com; expanse-estates.myshopify.com; novembreboutique.myshopify.com; blueberry-papeterie.myshopify.com; the-botanist-calgary.myshopify.com; jv5bwz-ap.myshopify.com,Ultimate Subscription | Ensemble cadeau le p’tit parfait ! | Writing Gift Set - Send With Love | Best Nyangnyang Stationery Gift Set | Gold Butterfly Stationery Set
categories filter,categories,party favors,Gift Sets,0,0,,,,
categories filter,categories,party favors,Food & Drink,0,0,,,,
categories filter,categories,party favors,Apparel & Accessories,0,0,,,,
categories filter,categories,party favors,Stationery,0,0,,,,
categories filter,categories,party favors,Party Favors,0,0,,,,
categories filter,categories,party favors,Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors,0,0,,,,
categories filter,categories,party favors,gid://shopify/TaxonomyCategory/ae-2-1-3,0,0,,,,
categories filter,categories,party favors,ae-2,10,121,,,paper-parties-boutique.myshopify.com; cherry-tree-lane-toy-shop.myshopify.com; the-cg-realm.myshopify.com; partyexpertballoon.myshopify.com; party-stuff-v4.myshopify.com; 468729-3.myshopify.com,"Safari Sticker Set | Make Your Own Friendship Bracelet Kit | Party Favors (071/298) - Origins Foil | KPop Demon Hunters Sticker Sheets, 4 Count | Disney Princess Glitter Stickers, 96 Count"
categories filter,categories,party favors,fb,10,144,,,partyexpertballoon.myshopify.com; a0qrkj-ex.myshopify.com; wheatonsstores.myshopify.com; vegansupply-ca.myshopify.com; wecrafttoronto.myshopify.com; tevan-ca.myshopify.com; party-stuff-v4.myshopify.com; good-nbr.myshopify.com; candy-funhouse.myshopify.com,"Candy Bracelets, 10 Count | Party Cupcakes Favor Tray | Salt Water Taffy Fun Flavours 1lb Bag | YumEarth Organic Assorted Lollipops - Multiple Sizes | Custom Wrapped Pringles - Personalized Party Favors (Set of 12)"
categories filter,categories,party favors,aa,10,118,,,lolli-and-confetti-party-shop.myshopify.com; party-stuff-v4.myshopify.com; goodr-canada-d2c.myshopify.com; f441b6-cc.myshopify.com; craft-top.myshopify.com; bach-and-boujee-1.myshopify.com; 9f0c90-2.myshopify.com,"Construction Party Favor Rubber Bracelets | Decorative Fan – 16"" – Hot Pink | Sea Foam Party Favor | Mon Ami Pumpkin Halloween Bag in Pink | 15pcs Candy Color Beads Bracelet for Kids Girl Birthday Party Favors Baby Shower Guest Jewelry Gift School Prizes Treat Bag"
categories filter,categories,party favors,op,0,0,,,,
price tier,price_tier,party favors,low,10,429,,,lemon-and-lavender-toronto.myshopify.com; readymadeplaycanada.myshopify.com; geniusgems.myshopify.com; lolli-and-confetti-party-shop.myshopify.com; party-stuff-v4.myshopify.com; partyexpertballoon.myshopify.com; good-nbr.myshopify.com; playful-minds-toys.myshopify.com,"Stripe Party Bags (Set of 8)-Meri Meri | Party Favours! | Goody Bags | Carnival Tent Favor/Treat Boxes | Favor Box - Heart, 8 Count, 4.5"""
price tier,price_tier,party favors,medium,10,426,,,good-nbr.myshopify.com; partyexpertballoon.myshopify.com; thecrossdesign.myshopify.com; confettimyparty-5294.myshopify.com; paper-parties-boutique.myshopify.com,"Rainbow Surprise Balls | Happy Icons Surprise Balls, 6 Count | Mermaid Party Bags | PRINCESS PARTY BAGS BY MERI MERI | Charm Party Bags 8pk."
price tier,price_tier,party favors,high,10,298,,,lemon-and-lavender-toronto.myshopify.com; c2ca37-2.myshopify.com; the-sugar-cube.myshopify.com; paper-parties-boutique.myshopify.com; shimmer-and-confetti.myshopify.com,Surprise Cake Slices | Meri Meri | Toybox Icon Party Bags | Custom Candy Bags | Animal Parade Party Treat Bags- 8pk | Happy Icons Party Bags
