type,key,query,seller,seller_name,title,price_min,price_max,variants,option_names,personalization_words,dietary_words,url
category,favors,party favors,readymadeplaycanada.myshopify.com,Readymade Play Canada ,Party Favours!,550,550,1,,,,https://readymadeplaycanada.com/products/party-favours?variant=48755888783646&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,partyexpertballoon.myshopify.com,Party Expert,"Happy Icons Surprise Balls, 6 Count",3999,3999,1,,,,https://www.party-expert.com/products/happy-fun-icons-surprise-balls-6-count?variant=43755287085242&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,paper-parties-boutique.myshopify.com,Pretty Day,Multi Surprise Balls,4509,4509,1,,,,https://www.prettyday.com/products/copy-of-meri-meri-rainbow-surprise-ball-party-favors-s3104?variant=46635786600681&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,lemon-and-lavender-toronto.myshopify.com,Lemon And Lavender Toronto,Surprise Cake Slices | Meri Meri,4999,4999,1,,,,https://shop.lemonlavender.com/products/surprise-cake-slices-meri-meri?variant=46782329880805&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,good-nbr.myshopify.com,Good Neighbour,Rainbow Surprise Balls,4000,4000,1,,,,https://www.goodnbr.com/products/multi-surprise-balls-copy?variant=41178487193643&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,partyexpertballoon.myshopify.com,Party Expert,"Spider-Man mega favor pack, 48 per package",1599,1599,1,,,,https://www.party-expert.com/products/spider-man-mega-mix-pack-48-pkg?variant=14307101769794&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,partyexpertballoon.myshopify.com,Party Expert,"Fairy Party Paper Bags, 8 Count",2499,2499,1,,,,https://www.party-expert.com/products/fairy-party-paper-bags-8-count?variant=43749427609786&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,lemon-and-lavender-toronto.myshopify.com,Lemon And Lavender Toronto,Stripe Party Bags (Set of 8)-Meri Meri,2999,2999,1,,,,https://shop.lemonlavender.com/products/easter-party-bags-set-of-8-meri-meri-copy?variant=45902392951013&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,partyexpertballoon.myshopify.com,Party Expert,"Spider-Man Birthday Favour Bags, Marvel, 8 Count",349,349,1,,,,https://www.party-expert.com/products/spider-man-birthday-favour-bags-marvel-8-count?variant=44831504171194&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,the-sugar-cube.myshopify.com,The Sugar Cube,Custom Candy Bags,12375,12375,1,Quantity; Allergen; Size,custom; personaliz,allerg,https://www.sugarcubeyyc.com/products/custom-candy-bags?variant=3359674948&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,geniusgems.myshopify.com,Genius Gems,Goody Bags,2117,2117,1,Option,,,https://geniusgems.com/products/goody-bags?variant=48701158687008&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,thecrossdesign.myshopify.com,The Cross Living,Mermaid Party Bags,3000,3000,1,,,,https://www.thecrossliving.com/products/mermaid-party-bags?variant=45866594598969&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,paper-parties-boutique.myshopify.com,Pretty Day,Toybox Icon Party Bags 8pk.,3134,3134,1,,,,https://www.prettyday.com/products/toybox-icon-party-bags-8pk?variant=48093208805609&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
category,favors,party favors,b-glam-party-shop-9426.myshopify.com,B Glam Party Shop,Pink Surprise Balls (x 6),3900,3900,1,,,,https://bglampartyshop.ca/products/pink-surprise-balls-x-6?variant=41222672056460&_gsid=UhbBh1D8ZRqS&utm_source=shopify&utm_medium=catalog
