type,key,query,seller,seller_name,title,price_min,price_max,variants,option_names,personalization_words,dietary_words,url
category,favors,party favors,boite-fete.myshopify.com,Bonjour Fête ,Cake Slice Surprise Balls,3000,3000,1,,,,https://www.bonjourfete.com/products/cake-slice-surprise-balls?variant=45773297975434&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,f5fbe0.myshopify.com,Inkbond,Beer Birthday!,2499,2499,1,Buy more & save!,personaliz,,https://www.ink-bond.com/products/beer-birthday-temporary-tattoo?variant=45044276396323&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Surprise Mushrooms (x 3),1000,1000,1,,,,https://merimeri.com/products/surprise-mushrooms-x-3?variant=40223841091670&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,1agzjw-e1.myshopify.com,Party City,"Moana Mega Mix Favors, 48ct",1200,1200,1,,,,https://www.partycity.com/products/moana-mega-mix-favors-48ct?variant=52438673588503&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,1agzjw-e1.myshopify.com,Party City,Mickey Mouse Forever Favor Pack 48pc,1200,1200,1,,,,https://www.partycity.com/products/mickey-mouse-forever-favor-pack-48pc?variant=52439146332439&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Smiley Face Surprise Balls (x 6),3200,3200,1,,,,https://merimeri.com/products/happy-face-icons-surprise-balls-x-6?variant=40488145846358&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,1agzjw-e1.myshopify.com,Party City,"Frozen Mega Mix Favors, 48ct",1200,1200,1,,,,https://www.partycity.com/products/frozen-mega-mix-favors-48ct?variant=52438823797015&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,tantrum.myshopify.com,TANTRUM,Multi Surprise Balls (pk6),2900,2900,1,,,,https://shoptantrum.com/products/multi-surprise-balls?variant=45002905714928&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Surprise Cake Slices (x 6),3200,3200,1,,,,https://merimeri.com/products/surprise-cake-slices-x-6?variant=41969637752918&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Rainbow Surprise Balls (x 6),3200,3200,1,,,,https://merimeri.com/products/rainbow-surprise-balls?variant=39274469523542&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,jjspartyfavors.myshopify.com,JJsPartyFavors,Custom Party Package,9000,9000,1,Style,custom; personaliz,,https://jjspartyfavors.net/products/party-favors?variant=39992502485049&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,sunkissed-party-co.myshopify.com,Sunkissed Party Co,Face on a Stick,1199,1199,1,Quantity; Add confetti stickers?,personaliz,,https://www.sunkissedpartyco.com/products/face-on-a-stick?variant=46232251433185&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Multicolor Party Favor Bags (x 8),2000,2000,1,,,,https://merimeri.com/products/multicolor-party-bags-set-of-8?variant=39841005862998&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
category,favors,party favors,meri-meri3.myshopify.com,Meri Meri,Fairy Party Favor Bags (x 8),2000,2000,1,,,,https://merimeri.com/products/fairy-party-bags?variant=33455693693014&_gsid=t6us6cKvsN42&utm_source=shopify&utm_medium=catalog
