seller,name,public_host,search_types_hit,queries_hit,products,personalized,ucp_tools,webmcp_loader,price_min,price_max,option_names,samples
vgyypu-v8.myshopify.com,Vera Nest Home,veranesthome.com,category; occasion; bulk; sentence,candles; coasters; wedding; kids; favors_bulk; sentence_kids,14,0,13,true,3899,18899,Quantity (10); Color (7),Tealight Candles Party Favor Sets 50 Pack with Gift Bags and Cards - Unscented Paraffin Wax Tea Lights Bulk Set for Weddings Birthdays Baby Showers Pink | Rattan Woven Coasters Set of 6 Handcrafted Heat-Resistant Non-Slip Drink Mats Boho Table Decor for Kitchen Dining Room Coffee Table Tabletop Protection Holiday Gift | Wedding Favors for Guests 80 Pack Small Ceramic Bowls Bulk Set | 3.3 Inch Green Verdure Mini Dipping Bowl Sauce Dish with Cards & Box for Party Shower Souvenir
happytimestr.myshopify.com,Happy Times Favors,www.happytimesfavors.com,category; personalization; occasion,candles; favors_personalized; wedding; baby_shower,19,19,13,true,139,1099,Set options (2); Options (2); Color-scent combination (1),"Personalized Candle Favor, Personalized Wedding Gifts | Personalized Wedding Gifts Candle, Bridal Shower Gifts, Bridal Shower Presents | Scented Candle, Baby Shower Favors, Baptism Favors, Candle Tin, Its A Girl, Baby Boy"
k07ked-t5.myshopify.com,Tate's Bake Shop,shop.tatesbakeshop.com,category; dietary; sentence,cookies; dessert_box; cookies_gf; sentence_dessert,11,0,13,true,1500,4500,Count (7); Size (2),Party Favors | Wedding Favors | Bakery Bar Gift Box
f5fbe0.myshopify.com,Inkbond,www.ink-bond.com,category; personalization; sentence,favors; favors_personalized; sentence_kids,8,8,13,true,2499,2499,Buy more & save! (8),"Beer Birthday! | The Man, The Myth, The Legend | Beer Birthday!"
9b0dac-b6.myshopify.com,Factory Direct Party,factorydirectparty.ca,category; occasion; sentence,favors; kids; sentence_kids,8,0,13,false,446,1405,,Super Mario Party Favour Mega Mix Pack - 48 Pieces | Get Wild Jungle Birthday Mega Mix Favor Pack - 48 Pieces | Spider-Man Goo Slime Party Favor Set
a81d51-3.myshopify.com,David's Cookies,davidscookies.com,category; dietary; sentence,dessert_box; cookies_gf; sentence_dessert,8,0,13,true,2695,4295,Occasion (1),Assorted Brownies Dessert Box | Gluten Free Cookie & Brownie Tin | Gluten Free Chocolate Chip & Snickerdoodle Cookie Sampler Tin
ha1f0z-m7.myshopify.com,HappyPlayToys,happyplay-toys.com,occasion; bulk; sentence,kids; favors_bulk; sentence_kids,7,0,13,true,1159,5074,,"Disney Stitch Party Favor Bags Set - Bundle with 12 Stitch Drawstring Bags for Kids Plus Stickers, More Birthday Party Supplies Pack | Disney Minnie Mouse Party Favor Bags Set - Bundle with 12 Minnie Drawstring Bags for Kids Plus Stickers, More Birthday Party Supplies Pack | Hulk Party Favor Bags Set – 24 Pack 8"" Marvel Goodie Bags for Kids Bulk Reusable Mini Totes | Avengers Incredible Hulk Birthday Party Supplies"
https-cookiebouquets-com.myshopify.com,Cookie Bouquets,cookiebouquets.com,personalization; dietary; bulk,cookies_custom; cookies_gf; cookies_bulk,5,3,13,true,175,3795,Cookie quantity (2),"Custom Photo Cookies -  Upload your photo to create Personalized Photo Cookies | Custom Logo Cookies – Upload your logo and turn it into a sweet, edible masterpiece | Gluten Free Happy Day Cookie Bouquet"
efavormart-new.myshopify.com,efavormart.com,www.efavormart.com,category; personalization; sentence,favors; favors_personalized; sentence_dessert,4,1,13,false,599,3299,Color (3),"25 Pack Pink Butterfly Themed Party Favor Boxes with ""Thank You"" Print, Cardstock Paper Candy Gift Boxes - 4""x4""x2"" | 12 Pack Clear Bow Top Plastic Candy Container Gift Boxes, Transparent Party Favor Boxes 3"" Square | 100 Pack Personalized Wedding Favor Gift Boxes, Mini Cupcake Boxes 3""x3""x3"""
simplysweetfavors.myshopify.com,SimplySweetFavors,simplysweetfavors.com,category; personalization; occasion,favors; favors_personalized; baby_shower,4,3,13,true,3600,3900,Label type (4); Quantity (4),"Popcorn Party Favors – Flat Bottom Bags, Salty Popcorn Treats, Baby Shower, Birthday & Event Favor Bags | Personalized Cotton Candy OG Bags – One Flavor per Bag Custom Party Favors | Simply Sweet Favors | Personalized Cotton Candy OG Bags – One Flavor per Bag Custom Party Favors | Simply Sweet Favors"
dessert-gallery-store.myshopify.com,Dessert Gallery Bakery & Cafe,dessertgallery.com,category; bulk; sentence,dessert_box; cookies_bulk; sentence_dessert,3,1,13,true,2250,7460,,Cake Balls Gift Box | Bulk Photo & Logo Cookies (Nationwide Shipping) | Cake Balls Gift Box
meri-meri3.myshopify.com,Meri Meri,merimeri.com,category; occasion,favors; coasters; kids,19,0,13,false,1000,4000,Occasion (1),Surprise Mushrooms (x 3) | Smiley Face Surprise Balls (x 6) | Surprise Cake Slices (x 6)
incrediblecookies.myshopify.com,Incredible Cookies,incrediblecookies.com,category; personalization,cookies; cookies_custom,12,12,13,true,330,699,Step 2 - select your cookie flavor (6); Step 1 - select your cookie size (6); Shape (1),"Logo Upload - Personalized Direct Print On Round Sugar Cookie w/ Matching Personalized Favor Box, Sticker & Bow Choice | Add your own Photo- Gourmet Chocolate Chip Or Variety Pack W/ Full Color Personalized Sticker | Personalized Custom ""Add Your Own Photo” Direct Print on Round Sugar Cookies"
