type,key,query,seller,seller_name,title,price_min,price_max,variants,option_names,personalization_words,dietary_words,url
category,thank_you_cards,thank you cards,thecrossdesign.myshopify.com,The Cross Living,Hydrangea Thank You Card Boxed Set,4500,4500,1,,,,https://www.thecrossliving.com/products/hydrangea-thank-you-card-boxed-set?variant=44686546862137&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,collected-joy.myshopify.com,Collected Joy,Rifle Thank You Bouquet,750,750,1,,personaliz,,https://collected-joy.com/products/rifle-thank-you-bouquet?variant=40360393736271&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,halfpennypostage.myshopify.com,Halfpenny Postage,Classic Thank You,700,700,1,,,,https://halfpennypostage.com/products/classicthankyou-madelinekloepper?variant=48114905481458&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,river-bookshop.myshopify.com,River Bookshop,Little Card Big Thanks,895,895,1,,,,https://riverbookshop.com/products/810086849918?variant=48221987438847&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,seekandbloomco.myshopify.com,Seek and Bloom Creative Co.,"Thank You, Pressed Flower Cosmos",2500,2500,1,,,,https://seekandbloom.ca/products/thank-you-pressed-flower-cosmos?variant=43976379498725&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,good-nbr.myshopify.com,Good Neighbour,Peacock Thank You Card (Boxed Set of 8),3600,3600,1,,personaliz,,https://www.goodnbr.com/products/peacock-thank-you-card-boxed-set-of-8?variant=40889176457259&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thecrossdesign.myshopify.com,The Cross Living,Delft Thank You Card Boxed Set,5000,5000,1,,,,https://www.thecrossliving.com/products/delft-thank-you-card-boxed-set?variant=44725963325497&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thistleandwren.myshopify.com,Thistle & Wren,Strawberry Fields Thank You Card,915,915,1,,,,https://www.thistleandwren.com/products/strawberry-fields-thank-you-card?variant=44806726353094&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,good-nbr.myshopify.com,Good Neighbour,Rosette Thank You Card,950,950,1,,,,https://www.goodnbr.com/products/rosette-thank-you-card?variant=41892337254443&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thecrossdesign.myshopify.com,The Cross Living,Pink Hydrangea Thank You Card Boxed Set,2000,2000,1,,,,https://www.thecrossliving.com/products/pink-hydrangea-thank-you-card-boxed-set?variant=45779044827193&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thecrdroom2.myshopify.com,The Card Room at KRICKET’S ,Rifle Paper Co - Thank You Roses Card,895,895,1,,,,https://thecardroom.ca/products/rifle-paper-co-thank-you-roses-card?variant=45076228636810&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,17a98d.myshopify.com,Ten Thousand Villages Abbotsford,Quilling Cards Vietnam - Thank You Quill & Ink,900,900,1,,,,https://bcvillages.ca/products/quilling-cards-vietnam-thank-you-quill-ink?variant=48610485698845&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,juxtaposegifts.myshopify.com,Juxtapose Cards & Gifts,Garden Party Thank You Keepsake Boxed Cards,4695,4695,1,,,,https://juxtaposeannex.com/products/garden-party-thank-you-keepsake-boxed-cards?variant=48494468366490&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thecrossdesign.myshopify.com,The Cross Living,English Rose Thank You Card Boxed Set,5000,5000,1,,personaliz,,https://www.thecrossliving.com/products/english-rose-thank-you-card-boxed-set?variant=43839386681401&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,good-nbr.myshopify.com,Good Neighbour,Seaside Thank You Card,1095,1095,1,,,,https://www.goodnbr.com/products/seaside-thank-you-card?variant=44174291763243&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,thecrdroom2.myshopify.com,The Card Room at KRICKET’S ,Doggy Thank You Card,895,895,1,,,,https://thecardroom.ca/products/doggy-thank-you-card?variant=49766629638282&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
category,thank_you_cards,thank you cards,good-nbr.myshopify.com,Good Neighbour,Thank You With Flowers Die Cut Card,1000,1000,1,,,,https://www.goodnbr.com/products/thank-you-with-flowers-die-cut-card?variant=43120852795435&_gsid=Psg9L2Xkv6CG&utm_source=shopify&utm_medium=catalog
